date,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East,London,South East,South West,Wales,Scotland,Northern Ireland
01/06/2008,291,695,527,377,511,454,733,681,509,345,601,223
01/06/2012,263,663,512,363,499,451,763,675,486,337,588,218
