date,North East,London,Yorkshire and The Humber,East Midlands,West Midlands,East ,South East,South West,Wales,Scotland,Northern Ireland,North West
01/06/2008,0,0,0,0,0,0,0,0,0,0,0,0
01/06/2012,-9.6,4.1,-2.8,-3.7,-2.3,-0.7,-0.9,-4.5,-2.3,-2.2,-2.2,-4.6
