date,Unadjusted difference ,Modelled adjusted difference
2004,7.7352662,1
2005,10.8088114,2.6
2006,9.2429398,1.7
2007,9.1537067,0.9
2008,7.3973223,0.1
2009,11.8043821,2.4
2010,15.1121496,4.3
2011,15.1124855,3.8
2012,15.3811584,3.1
2013,13.9254904,2.3
2014,14.713388,0.4
2015,15.8237906,1
2016,13.5668203,-1
