date,Percent
1997,0.468631623
1998,0.463584612
1999,0.467443918
2000,0.471523931
2001,0.481093157
2002,0.470202055
2003,0.474839575
2004,0.457389416
2005,0.450998896
2006,0.438154348
2007,0.439935858
2008,0.436888057
2009,0.435783113
2010,0.410106443
2011,0.410623933
2012,0.405673228
2013,0.392356259
2014,0.377497133
2015,0.372431036
2016,0.36539778
2017,0.364388573
